PA,AG,SX,PP
Ang Mo Kio,60_to_64,Females,20
Ang Mo Kio,60_to_64,Females,30
Ang Mo Kio,60_to_64,Females,70
Ang Mo Kio,60_to_64,Females,0
Ang Mo Kio,60_to_64,Females,40
Ang Mo Kio,60_to_64,Females,0
Ang Mo Kio,60_to_64,Females,0
Ang Mo Kio,65_to_69,Males,0
Ang Mo Kio,65_to_69,Males,10
Ang Mo Kio,65_to_69,Males,20
Ang Mo Kio,65_to_69,Males,60
Ang Mo Kio,65_to_69,Males,0
Ang Mo Kio,65_to_69,Males,30
Ang Mo Kio,65_to_69,Males,0
Ang Mo Kio,65_to_69,Males,0
Ang Mo Kio,65_to_69,Females,0
Ang Mo Kio,65_to_69,Females,20
Ang Mo Kio,65_to_69,Females,20
Ang Mo Kio,65_to_69,Females,70
Ang Mo Kio,65_to_69,Females,0
Ang Mo Kio,65_to_69,Females,40
Ang Mo Kio,65_to_69,Females,0
Ang Mo Kio,65_to_69,Females,0
Ang Mo Kio,70_to_74,Males,0
Ang Mo Kio,70_to_74,Males,10
Ang Mo Kio,70_to_74,Males,10
Ang Mo Kio,70_to_74,Males,60
Ang Mo Kio,70_to_74,Males,0
Ang Mo Kio,70_to_74,Males,30
Ang Mo Kio,70_to_74,Males,0
Ang Mo Kio,70_to_74,Males,0
Ang Mo Kio,70_to_74,Females,0
Ang Mo Kio,70_to_74,Females,10
Ang Mo Kio,70_to_74,Females,30
Ang Mo Kio,70_to_74,Females,80
Ang Mo Kio,70_to_74,Females,0
Ang Mo Kio,70_to_74,Females,30
Ang Mo Kio,70_to_74,Females,0
Ang Mo Kio,70_to_74,Females,0
Ang Mo Kio,75_to_79,Males,0
Ang Mo Kio,75_to_79,Males,0
Ang Mo Kio,75_to_79,Males,10
Ang Mo Kio,75_to_79,Males,30
Ang Mo Kio,75_to_79,Males,0
Ang Mo Kio,75_to_79,Males,10
Ang Mo Kio,75_to_79,Males,0
Ang Mo Kio,75_to_79,Males,0
Ang Mo Kio,75_to_79,Females,0
Ang Mo Kio,75_to_79,Females,10
Ang Mo Kio,75_to_79,Females,10
Ang Mo Kio,75_to_79,Females,50
Ang Mo Kio,75_to_79,Females,0
Ang Mo Kio,75_to_79,Females,10
Ang Mo Kio,75_to_79,Females,0
Ang Mo Kio,75_to_79,Females,0
Ang Mo Kio,80_to_84,Males,0
Ang Mo Kio,80_to_84,Males,0
Ang Mo Kio,80_to_84,Males,10
Ang Mo Kio,80_to_84,Males,20
Ang Mo Kio,80_to_84,Males,0
Ang Mo Kio,80_to_84,Males,10
Ang Mo Kio,80_to_84,Males,0
Ang Mo Kio,80_to_84,Males,0
Ang Mo Kio,80_to_84,Females,0
Ang Mo Kio,80_to_84,Females,10
Ang Mo Kio,80_to_84,Females,10
Ang Mo Kio,80_to_84,Females,30
Ang Mo Kio,80_to_84,Females,0
Ang Mo Kio,80_to_84,Females,20
Ang Mo Kio,80_to_84,Females,0
Ang Mo Kio,80_to_84,Females,0
Ang Mo Kio,85_to_89,Males,0
Ang Mo Kio,85_to_89,Males,0
Ang Mo Kio,85_to_89,Males,0
Ang Mo Kio,85_to_89,Males,10
Ang Mo Kio,85_to_89,Males,0
Ang Mo Kio,85_to_89,Males,0
Ang Mo Kio,85_to_89,Males,0
Ang Mo Kio,85_to_89,Males,0
Ang Mo Kio,85_to_89,Females,0
Ang Mo Kio,85_to_89,Females,10
Ang Mo Kio,85_to_89,Females,0
Ang Mo Kio,85_to_89,Females,20
Ang Mo Kio,85_to_89,Females,0
Ang Mo Kio,85_to_89,Females,10
Ang Mo Kio,85_to_89,Females,0
Ang Mo Kio,85_to_89,Females,0
Ang Mo Kio,90_and_over,Males,0
Ang Mo Kio,90_and_over,Males,0
Ang Mo Kio,90_and_over,Males,0
Ang Mo Kio,90_and_over,Males,10
Ang Mo Kio,90_and_over,Males,0
Ang Mo Kio,90_and_over,Males,0
Ang Mo Kio,90_and_over,Males,0
Ang Mo Kio,90_and_over,Males,0
Ang Mo Kio,90_and_over,Females,0
Ang Mo Kio,90_and_over,Females,0
Ang Mo Kio,90_and_over,Females,0
Ang Mo Kio,90_and_over,Females,10
Ang Mo Kio,90_and_over,Females,0
Ang Mo Kio,90_and_over,Females,10
Ang Mo Kio,90_and_over,Females,0
Ang Mo Kio,90_and_over,Females,0
Ang Mo Kio,0_to_4,Males,30
Ang Mo Kio,0_to_4,Males,170
Ang Mo Kio,0_to_4,Males,190
Ang Mo Kio,0_to_4,Males,100
Ang Mo Kio,0_to_4,Males,0
Ang Mo Kio,0_to_4,Males,0
Ang Mo Kio,0_to_4,Males,0
Ang Mo Kio,0_to_4,Males,0
Ang Mo Kio,0_to_4,Females,10
Ang Mo Kio,0_to_4,Females,140
Ang Mo Kio,0_to_4,Females,190
Ang Mo Kio,0_to_4,Females,70
Ang Mo Kio,0_to_4,Females,0
Ang Mo Kio,0_to_4,Females,0
Ang Mo Kio,0_to_4,Females,0
Ang Mo Kio,0_to_4,Females,0
Ang Mo Kio,5_to_9,Males,10
Ang Mo Kio,5_to_9,Males,150
Ang Mo Kio,5_to_9,Males,200
Ang Mo Kio,5_to_9,Males,140
Ang Mo Kio,5_to_9,Males,0
Ang Mo Kio,5_to_9,Males,0
Ang Mo Kio,5_to_9,Males,0
Ang Mo Kio,5_to_9,Males,0
Ang Mo Kio,5_to_9,Females,20
Ang Mo Kio,5_to_9,Females,140
Ang Mo Kio,5_to_9,Females,200
Ang Mo Kio,5_to_9,Females,130
Ang Mo Kio,5_to_9,Females,0
Ang Mo Kio,5_to_9,Females,0
Ang Mo Kio,5_to_9,Females,0
Ang Mo Kio,5_to_9,Females,0
Ang Mo Kio,10_to_14,Males,20
Ang Mo Kio,10_to_14,Males,200
Ang Mo Kio,10_to_14,Males,180
Ang Mo Kio,10_to_14,Males,140
Ang Mo Kio,10_to_14,Males,0
Ang Mo Kio,10_to_14,Males,0
Ang Mo Kio,10_to_14,Males,0
Ang Mo Kio,10_to_14,Males,0
Ang Mo Kio,10_to_14,Females,10
Ang Mo Kio,10_to_14,Females,140
