PA,SX,AG,Subsum
Changi Bay,Females,5_to_9,0
Changi Bay,Females,50_to_54,0
Changi Bay,Females,55_to_59,0
Changi Bay,Females,60_to_64,0
Changi Bay,Females,65_to_69,0
Changi Bay,Females,70_to_74,0
Changi Bay,Females,75_to_79,0
Changi Bay,Females,80_to_84,0
Changi Bay,Females,85_to_89,0
Changi Bay,Females,90_and_over,0
Changi Bay,Males,0_to_4,0
Changi Bay,Males,10_to_14,0
Changi Bay,Males,15_to_19,0
Changi Bay,Males,20_to_24,0
Changi Bay,Males,25_to_29,0
Changi Bay,Males,30_to_34,0
Changi Bay,Males,35_to_39,0
Changi Bay,Males,40_to_44,0
Changi Bay,Males,45_to_49,0
Changi Bay,Males,5_to_9,0
Changi Bay,Males,50_to_54,0
Changi Bay,Males,55_to_59,0
Changi Bay,Males,60_to_64,0
Changi Bay,Males,65_to_69,0
Changi Bay,Males,70_to_74,0
Changi Bay,Males,75_to_79,0
Changi Bay,Males,80_to_84,0
Changi Bay,Males,85_to_89,0
Changi Bay,Males,90_and_over,0
Choa Chu Kang,Females,0_to_4,4080
Choa Chu Kang,Females,10_to_14,4670
Choa Chu Kang,Females,15_to_19,5310
Choa Chu Kang,Females,20_to_24,6820
Choa Chu Kang,Females,25_to_29,8250
Choa Chu Kang,Females,30_to_34,7550
Choa Chu Kang,Females,35_to_39,6530
Choa Chu Kang,Females,40_to_44,6550
Choa Chu Kang,Females,45_to_49,6760
Choa Chu Kang,Females,5_to_9,4510
Choa Chu Kang,Females,50_to_54,7900
Choa Chu Kang,Females,55_to_59,8270
Choa Chu Kang,Females,60_to_64,6480
Choa Chu Kang,Females,65_to_69,4780
Choa Chu Kang,Females,70_to_74,3140
Choa Chu Kang,Females,75_to_79,1690
Choa Chu Kang,Females,80_to_84,1250
Choa Chu Kang,Females,85_to_89,710
Choa Chu Kang,Females,90_and_over,430
Choa Chu Kang,Males,0_to_4,4260
Choa Chu Kang,Males,10_to_14,4880
Choa Chu Kang,Males,15_to_19,5590
Choa Chu Kang,Males,20_to_24,7270
Choa Chu Kang,Males,25_to_29,8700
Choa Chu Kang,Males,30_to_34,7390
Choa Chu Kang,Males,35_to_39,6200
Choa Chu Kang,Males,40_to_44,5920
Choa Chu Kang,Males,45_to_49,6250
Choa Chu Kang,Males,5_to_9,4690
Choa Chu Kang,Males,50_to_54,6860
Choa Chu Kang,Males,55_to_59,8340
Choa Chu Kang,Males,60_to_64,7120
Choa Chu Kang,Males,65_to_69,5200
Choa Chu Kang,Males,70_to_74,3170
Choa Chu Kang,Males,75_to_79,1480
Choa Chu Kang,Males,80_to_84,800
Choa Chu Kang,Males,85_to_89,380
Choa Chu Kang,Males,90_and_over,150
Clementi,Females,0_to_4,1740
Clementi,Females,10_to_14,2430
Clementi,Females,15_to_19,2260
Clementi,Females,20_to_24,2330
Clementi,Females,25_to_29,2540
Clementi,Females,30_to_34,3240
Clementi,Females,35_to_39,3510
Clementi,Females,40_to_44,4040
Clementi,Females,45_to_49,3960
Clementi,Females,5_to_9,2340
Clementi,Females,50_to_54,3510
Clementi,Females,55_to_59,3350
Clementi,Females,60_to_64,3050
Clementi,Females,65_to_69,3540
Clementi,Females,70_to_74,3260
Clementi,Females,75_to_79,1910
Clementi,Females,80_to_84,1400
Clementi,Females,85_to_89,720
Clementi,Females,90_and_over,460
Clementi,Males,0_to_4,1820
Clementi,Males,10_to_14,2400
Clementi,Males,15_to_19,2320
Clementi,Males,20_to_24,2330
Clementi,Males,25_to_29,2570
Clementi,Males,30_to_34,2860
Clementi,Males,35_to_39,3010
Clementi,Males,40_to_44,3460
Clementi,Males,45_to_49,3620
Clementi,Males,5_to_9,2340
Clementi,Males,50_to_54,3210
Clementi,Males,55_to_59,3230
Clementi,Males,60_to_64,2770
Clementi,Males,65_to_69,2620
Clementi,Males,70_to_74,2670
Clementi,Males,75_to_79,1600
Clementi,Males,80_to_84,1070
Clementi,Males,85_to_89,460
Clementi,Males,90_and_over,180
Downtown Core,Females,0_to_4,100
Downtown Core,Females,10_to_14,50
Downtown Core,Females,15_to_19,80
Downtown Core,Females,20_to_24,60
Downtown Core,Females,25_to_29,170
Downtown Core,Females,30_to_34,280
Downtown Core,Females,35_to_39,260
Downtown Core,Females,40_to_44,230
Downtown Core,Females,45_to_49,180
Downtown Core,Females,5_to_9,50
Downtown Core,Females,50_to_54,140
Downtown Core,Females,55_to_59,120
Downtown Core,Females,60_to_64,80
Downtown Core,Females,65_to_69,70
Downtown Core,Females,70_to_74,50
Downtown Core,Females,75_to_79,40
Downtown Core,Females,80_to_84,20
Downtown Core,Females,85_to_89,10
Downtown Core,Females,90_and_over,10
Downtown Core,Males,0_to_4,60
Downtown Core,Males,10_to_14,60
Downtown Core,Males,15_to_19,30
Downtown Core,Males,20_to_24,60
Downtown Core,Males,25_to_29,140
Downtown Core,Males,30_to_34,240
Downtown Core,Males,35_to_39,230
Downtown Core,Males,40_to_44,220
Downtown Core,Males,45_to_49,190
Downtown Core,Males,5_to_9,60
Downtown Core,Males,50_to_54,160
Downtown Core,Males,55_to_59,110
Downtown Core,Males,60_to_64,100
Downtown Core,Males,65_to_69,70
Downtown Core,Males,70_to_74,50
Downtown Core,Males,75_to_79,30
Downtown Core,Males,80_to_84,10
Downtown Core,Males,85_to_89,10
Downtown Core,Males,90_and_over,40
Geylang,Females,0_to_4,1850
Geylang,Females,10_to_14,2120
Geylang,Females,15_to_19,2140
Geylang,Females,20_to_24,2590
Geylang,Females,25_to_29,3800
Geylang,Females,30_to_34,4610
Geylang,Females,35_to_39,4020
Geylang,Females,40_to_44,4020
Geylang,Females,45_to_49,4110
Geylang,Females,5_to_9,2080
Geylang,Females,50_to_54,3720
Geylang,Females,55_to_59,3880
Geylang,Females,60_to_64,4150
Geylang,Females,65_to_69,3950
Geylang,Females,70_to_74,3250
Geylang,Females,75_to_79,2030
Geylang,Females,80_to_84,1650
Geylang,Females,85_to_89,950
Geylang,Females,90_and_over,690
Geylang,Males,0_to_4,1990
Geylang,Males,10_to_14,2280
Geylang,Males,15_to_19,2410
Geylang,Males,20_to_24,2630
Geylang,Males,25_to_29,3820
Geylang,Males,30_to_34,4480
Geylang,Males,35_to_39,3740
Geylang,Males,40_to_44,3670
Geylang,Males,45_to_49,3910
Geylang,Males,5_to_9,2160
Geylang,Males,50_to_54,3900
Geylang,Males,55_to_59,4100
Geylang,Males,60_to_64,4370
Geylang,Males,65_to_69,3940
Geylang,Males,70_to_74,2920
Geylang,Males,75_to_79,1640
Geylang,Males,80_to_84,1160
Geylang,Males,85_to_89,530
Geylang,Males,90_and_over,320
Hougang,Females,0_to_4,4430
Hougang,Females,10_to_14,4920
Hougang,Females,15_to_19,5190
Hougang,Females,20_to_24,6330
Hougang,Females,25_to_29,8220
Hougang,Females,30_to_34,9290
Hougang,Females,35_to_39,8170
Hougang,Females,40_to_44,7940
Hougang,Females,45_to_49,8100
Hougang,Females,5_to_9,4960
Hougang,Females,50_to_54,8280
Hougang,Females,55_to_59,9170
Hougang,Females,60_to_64,9350
Hougang,Females,65_to_69,8040
Hougang,Females,70_to_74,5860
Hougang,Females,75_to_79,3320
Hougang,Females,80_to_84,2470
Hougang,Females,85_to_89,1340
Hougang,Females,90_and_over,900
Hougang,Males,0_to_4,4520
Hougang,Males,10_to_14,4910
Hougang,Males,15_to_19,5410
Hougang,Males,20_to_24,6740
Hougang,Males,25_to_29,8460
Hougang,Males,30_to_34,8990
Hougang,Males,35_to_39,7390
Hougang,Males,40_to_44,7180
Hougang,Males,45_to_49,7680
Hougang,Males,5_to_9,4880
Hougang,Males,50_to_54,7480
Hougang,Males,55_to_59,8940
Hougang,Males,60_to_64,9400
Hougang,Males,65_to_69,7990
Hougang,Males,70_to_74,5510
Hougang,Males,75_to_79,2900
Hougang,Males,80_to_84,1770
Hougang,Males,85_to_89,780
Hougang,Males,90_and_over,330
Jurong East,Females,0_to_4,1130
Jurong East,Females,10_to_14,1580
Jurong East,Females,15_to_19,1820
Jurong East,Females,20_to_24,2170
Jurong East,Females,25_to_29,2610
Jurong East,Females,30_to_34,2680
Jurong East,Females,35_to_39,2490
Jurong East,Females,40_to_44,2610
Jurong East,Females,45_to_49,2860
Jurong East,Females,5_to_9,1280
Jurong East,Females,50_to_54,2770
Jurong East,Females,55_to_59,2880
Jurong East,Females,60_to_64,3230
Jurong East,Females,65_to_69,3100
Jurong East,Females,70_to_74,2550
Jurong East,Females,75_to_79,1270
Jurong East,Females,80_to_84,900
Jurong East,Females,85_to_89,470
Jurong East,Females,90_and_over,290
Jurong East,Males,0_to_4,1230
Jurong East,Males,10_to_14,1650
Jurong East,Males,15_to_19,1910
Jurong East,Males,20_to_24,2380
Jurong East,Males,25_to_29,2770
Jurong East,Males,30_to_34,2790
Jurong East,Males,35_to_39,2220
Jurong East,Males,40_to_44,2330
Jurong East,Males,45_to_49,2630
Jurong East,Males,5_to_9,1400
Jurong East,Males,50_to_54,2670
Jurong East,Males,55_to_59,2940
Jurong East,Males,60_to_64,3050
Jurong East,Males,65_to_69,3060
Jurong East,Males,70_to_74,2410
Jurong East,Males,75_to_79,1250
Jurong East,Males,80_to_84,750
Jurong East,Males,85_to_89,300
Jurong East,Males,90_and_over,130
Jurong West,Females,0_to_4,4820
Jurong West,Females,10_to_14,6980
Jurong West,Females,15_to_19,7400
Jurong West,Females,20_to_24,8030
Jurong West,Females,25_to_29,9290
Jurong West,Females,30_to_34,9450
Jurong West,Females,35_to_39,9360
Jurong West,Females,40_to_44,10500
Jurong West,Females,45_to_49,9990
Jurong West,Females,5_to_9,5930
Jurong West,Females,50_to_54,9560
Jurong West,Females,55_to_59,9320
Jurong West,Females,60_to_64,8650
Jurong West,Females,65_to_69,7770
Jurong West,Females,70_to_74,5520
Jurong West,Females,75_to_79,2890
Jurong West,Females,80_to_84,1870
Jurong West,Females,85_to_89,900
Jurong West,Females,90_and_over,610
Jurong West,Males,0_to_4,5010
Jurong West,Males,10_to_14,7210
Jurong West,Males,15_to_19,7860
Jurong West,Males,20_to_24,8640
Jurong West,Males,25_to_29,9590
Jurong West,Males,30_to_34,9320
Jurong West,Males,35_to_39,8370
Jurong West,Males,40_to_44,9610
Jurong West,Males,45_to_49,10260
Jurong West,Males,5_to_9,6230
Jurong West,Males,50_to_54,10060
Jurong West,Males,55_to_59,9990
Jurong West,Males,60_to_64,9110
Jurong West,Males,65_to_69,7830
Jurong West,Males,70_to_74,5660
Jurong West,Males,75_to_79,2670
Jurong West,Males,80_to_84,1470
Jurong West,Males,85_to_89,610
Jurong West,Males,90_and_over,200
Kallang,Females,0_to_4,1810
Kallang,Females,10_to_14,1930
Kallang,Females,15_to_19,2060
Kallang,Females,20_to_24,2240
Kallang,Females,25_to_29,3000
Kallang,Females,30_to_34,3940
Kallang,Females,35_to_39,3660
Kallang,Females,40_to_44,3860
Kallang,Females,45_to_49,4010
Kallang,Females,5_to_9,1910
Kallang,Females,50_to_54,3670
Kallang,Females,55_to_59,3380
Kallang,Females,60_to_64,3620
Kallang,Females,65_to_69,3460
Kallang,Females,70_to_74,3260
Kallang,Females,75_to_79,2010
Kallang,Females,80_to_84,1710
Kallang,Females,85_to_89,910
Kallang,Females,90_and_over,730
Kallang,Males,0_to_4,1950
Kallang,Males,10_to_14,2100
Kallang,Males,15_to_19,2080
Kallang,Males,20_to_24,2310
Kallang,Males,25_to_29,2850
Kallang,Males,30_to_34,3570
Kallang,Males,35_to_39,3420
Kallang,Males,40_to_44,3680
Kallang,Males,45_to_49,3830
Kallang,Males,5_to_9,2110
Kallang,Males,50_to_54,3770
Kallang,Males,55_to_59,3840
Kallang,Males,60_to_64,3950
Kallang,Males,65_to_69,3570
Kallang,Males,70_to_74,2980
Kallang,Males,75_to_79,1730
Kallang,Males,80_to_84,1290
Kallang,Males,85_to_89,520
Kallang,Males,90_and_over,320
Lim Chu Kang,Females,0_to_4,0
Lim Chu Kang,Females,10_to_14,0
Lim Chu Kang,Females,15_to_19,0
Lim Chu Kang,Females,20_to_24,0
Lim Chu Kang,Females,25_to_29,0
Lim Chu Kang,Females,30_to_34,0
Lim Chu Kang,Females,35_to_39,0
Lim Chu Kang,Females,40_to_44,0
Lim Chu Kang,Females,45_to_49,0
Lim Chu Kang,Females,5_to_9,0
Lim Chu Kang,Females,50_to_54,0
Lim Chu Kang,Females,55_to_59,0
Lim Chu Kang,Females,60_to_64,0
Lim Chu Kang,Females,65_to_69,0
Lim Chu Kang,Females,70_to_74,0
Lim Chu Kang,Females,75_to_79,0
Lim Chu Kang,Females,80_to_84,0
Lim Chu Kang,Females,85_to_89,0
Lim Chu Kang,Females,90_and_over,0
Lim Chu Kang,Males,0_to_4,0
Lim Chu Kang,Males,10_to_14,0
Lim Chu Kang,Males,15_to_19,0
Lim Chu Kang,Males,20_to_24,0
Lim Chu Kang,Males,25_to_29,0
Lim Chu Kang,Males,30_to_34,0
Lim Chu Kang,Males,35_to_39,0
Lim Chu Kang,Males,40_to_44,0
Lim Chu Kang,Males,45_to_49,0
Lim Chu Kang,Males,5_to_9,0
Lim Chu Kang,Males,50_to_54,0
