PA,SX,AG,Subsum
Simpang,Females,80_to_84,0
Simpang,Females,85_to_89,0
Simpang,Females,90_and_over,0
Simpang,Males,0_to_4,0
Simpang,Males,10_to_14,0
Simpang,Males,15_to_19,0
Simpang,Males,20_to_24,0
Simpang,Males,25_to_29,0
Simpang,Males,30_to_34,0
Simpang,Males,35_to_39,0
Simpang,Males,40_to_44,0
Simpang,Males,45_to_49,0
Simpang,Males,5_to_9,0
Simpang,Males,50_to_54,0
Simpang,Males,55_to_59,0
Simpang,Males,60_to_64,0
Simpang,Males,65_to_69,0
Simpang,Males,70_to_74,0
Simpang,Males,75_to_79,0
Simpang,Males,80_to_84,0
Simpang,Males,85_to_89,0
Simpang,Males,90_and_over,0
Singapore River,Females,0_to_4,130
Singapore River,Females,10_to_14,120
Singapore River,Females,15_to_19,80
Singapore River,Females,20_to_24,60
Singapore River,Females,25_to_29,90
Singapore River,Females,30_to_34,150
Singapore River,Females,35_to_39,220
Singapore River,Females,40_to_44,240
Singapore River,Females,45_to_49,210
Singapore River,Females,5_to_9,130
Singapore River,Females,50_to_54,140
Singapore River,Females,55_to_59,90
Singapore River,Females,60_to_64,70
Singapore River,Females,65_to_69,70
Singapore River,Females,70_to_74,40
Singapore River,Females,75_to_79,20
Singapore River,Females,80_to_84,20
Singapore River,Females,85_to_89,0
Singapore River,Females,90_and_over,0
Singapore River,Males,0_to_4,110
Singapore River,Males,10_to_14,90
Singapore River,Males,15_to_19,70
Singapore River,Males,20_to_24,50
Singapore River,Males,25_to_29,60
Singapore River,Males,30_to_34,110
Singapore River,Males,35_to_39,160
Singapore River,Males,40_to_44,190
Singapore River,Males,45_to_49,210
Singapore River,Males,5_to_9,150
Singapore River,Males,50_to_54,180
Singapore River,Males,55_to_59,110
Singapore River,Males,60_to_64,80
Singapore River,Males,65_to_69,50
Singapore River,Males,70_to_74,40
Singapore River,Males,75_to_79,30
Singapore River,Males,80_to_84,10
Singapore River,Males,85_to_89,0
Singapore River,Males,90_and_over,0
Southern Islands,Females,0_to_4,100
Southern Islands,Females,10_to_14,70
Southern Islands,Females,15_to_19,80
Southern Islands,Females,20_to_24,60
Southern Islands,Females,25_to_29,40
Southern Islands,Females,30_to_34,70
Southern Islands,Females,35_to_39,100
Southern Islands,Females,40_to_44,140
Southern Islands,Females,45_to_49,120
Southern Islands,Females,5_to_9,80
Southern Islands,Females,50_to_54,120
Southern Islands,Females,55_to_59,90
Southern Islands,Females,60_to_64,60
Southern Islands,Females,65_to_69,30
Southern Islands,Females,70_to_74,20
Southern Islands,Females,75_to_79,20
Southern Islands,Females,80_to_84,10
Southern Islands,Females,85_to_89,10
Southern Islands,Females,90_and_over,0
Southern Islands,Males,0_to_4,80
Southern Islands,Males,10_to_14,50
Southern Islands,Males,15_to_19,40
Southern Islands,Males,20_to_24,30
Southern Islands,Males,25_to_29,30
Southern Islands,Males,30_to_34,40
Southern Islands,Males,35_to_39,70
Southern Islands,Males,40_to_44,90
Southern Islands,Males,45_to_49,110
Southern Islands,Males,5_to_9,80
Southern Islands,Males,50_to_54,130
Southern Islands,Males,55_to_59,110
Southern Islands,Males,60_to_64,80
Southern Islands,Males,65_to_69,50
Southern Islands,Males,70_to_74,30
Southern Islands,Males,75_to_79,10
Southern Islands,Males,80_to_84,10
Southern Islands,Males,85_to_89,0
Southern Islands,Males,90_and_over,0
Straits View,Females,0_to_4,0
Straits View,Females,10_to_14,0
Straits View,Females,15_to_19,0
Straits View,Females,20_to_24,0
Straits View,Females,25_to_29,0
Straits View,Females,30_to_34,0
Straits View,Females,35_to_39,0
Straits View,Females,40_to_44,0
Straits View,Females,45_to_49,0
Straits View,Females,5_to_9,0
Straits View,Females,50_to_54,0
Straits View,Females,55_to_59,0
Straits View,Females,60_to_64,0
Straits View,Females,65_to_69,0
Straits View,Females,70_to_74,0
Straits View,Females,75_to_79,0
Straits View,Females,80_to_84,0
Straits View,Females,85_to_89,0
Straits View,Females,90_and_over,0
Straits View,Males,0_to_4,0
Straits View,Males,10_to_14,0
Straits View,Males,15_to_19,0
Straits View,Males,20_to_24,0
Straits View,Males,25_to_29,0
Straits View,Males,30_to_34,0
Straits View,Males,35_to_39,0
Straits View,Males,40_to_44,0
Straits View,Males,45_to_49,0
Straits View,Males,5_to_9,0
Straits View,Males,50_to_54,0
Straits View,Males,55_to_59,0
Straits View,Males,60_to_64,0
Straits View,Males,65_to_69,0
Straits View,Males,70_to_74,0
Straits View,Males,75_to_79,0
Straits View,Males,80_to_84,0
Straits View,Males,85_to_89,0
Straits View,Males,90_and_over,0
Sungei Kadut,Females,0_to_4,10
Sungei Kadut,Females,10_to_14,10
Sungei Kadut,Females,15_to_19,10
Sungei Kadut,Females,20_to_24,20
Sungei Kadut,Females,25_to_29,30
Sungei Kadut,Females,30_to_34,20
Sungei Kadut,Females,35_to_39,30
Sungei Kadut,Females,40_to_44,20
Sungei Kadut,Females,45_to_49,20
Sungei Kadut,Females,5_to_9,10
Sungei Kadut,Females,50_to_54,30
Sungei Kadut,Females,55_to_59,30
Sungei Kadut,Females,60_to_64,30
Sungei Kadut,Females,65_to_69,20
Sungei Kadut,Females,70_to_74,20
Sungei Kadut,Females,75_to_79,10
Sungei Kadut,Females,80_to_84,10
Sungei Kadut,Females,85_to_89,10
Sungei Kadut,Females,90_and_over,10
Sungei Kadut,Males,0_to_4,10
Sungei Kadut,Males,10_to_14,10
Sungei Kadut,Males,15_to_19,10
Sungei Kadut,Males,20_to_24,30
Sungei Kadut,Males,25_to_29,20
Sungei Kadut,Males,30_to_34,20
Sungei Kadut,Males,35_to_39,20
Sungei Kadut,Males,40_to_44,10
Sungei Kadut,Males,45_to_49,20
Sungei Kadut,Males,5_to_9,20
Sungei Kadut,Males,50_to_54,30
Sungei Kadut,Males,55_to_59,20
Sungei Kadut,Males,60_to_64,20
Sungei Kadut,Males,65_to_69,20
Sungei Kadut,Males,70_to_74,20
Sungei Kadut,Males,75_to_79,10
Sungei Kadut,Males,80_to_84,10
Sungei Kadut,Males,85_to_89,10
Sungei Kadut,Males,90_and_over,0
Tampines,Females,0_to_4,6300
Tampines,Females,10_to_14,5680
Tampines,Females,15_to_19,5950
Tampines,Females,20_to_24,7580
Tampines,Females,25_to_29,10580
Tampines,Females,30_to_34,11830
Tampines,Females,35_to_39,9600
Tampines,Females,40_to_44,9090
Tampines,Females,45_to_49,8540
Tampines,Females,5_to_9,6010
Tampines,Females,50_to_54,9400
Tampines,Females,55_to_59,10810
Tampines,Females,60_to_64,11310
Tampines,Females,65_to_69,9340
Tampines,Females,70_to_74,6200
Tampines,Females,75_to_79,3190
Tampines,Females,80_to_84,2420
Tampines,Females,85_to_89,1310
Tampines,Females,90_and_over,890
Tampines,Males,0_to_4,6540
Tampines,Males,10_to_14,6210
Tampines,Males,15_to_19,6330
Tampines,Males,20_to_24,8040
Tampines,Males,25_to_29,10500
Tampines,Males,30_to_34,11690
Tampines,Males,35_to_39,9130
Tampines,Males,40_to_44,8450
Tampines,Males,45_to_49,8010
Tampines,Males,5_to_9,6430
Tampines,Males,50_to_54,7910
Tampines,Males,55_to_59,9480
Tampines,Males,60_to_64,10350
Tampines,Males,65_to_69,9140
Tampines,Males,70_to_74,6140
Tampines,Males,75_to_79,2720
Tampines,Males,80_to_84,1550
Tampines,Males,85_to_89,740
Tampines,Males,90_and_over,300
Tanglin,Females,0_to_4,570
Tanglin,Females,10_to_14,750
Tanglin,Females,15_to_19,660
Tanglin,Females,20_to_24,580
Tanglin,Females,25_to_29,580
Tanglin,Females,30_to_34,800
Tanglin,Females,35_to_39,1010
Tanglin,Females,40_to_44,1130
Tanglin,Females,45_to_49,1220
Tanglin,Females,5_to_9,890
Tanglin,Females,50_to_54,990
Tanglin,Females,55_to_59,740
Tanglin,Females,60_to_64,630
Tanglin,Females,65_to_69,590
Tanglin,Females,70_to_74,510
Tanglin,Females,75_to_79,340
Tanglin,Females,80_to_84,230
Tanglin,Females,85_to_89,120
Tanglin,Females,90_and_over,90
Tanglin,Males,0_to_4,520
Tanglin,Males,10_to_14,740
Tanglin,Males,15_to_19,530
Tanglin,Males,20_to_24,490
Tanglin,Males,25_to_29,480
Tanglin,Males,30_to_34,620
Tanglin,Males,35_to_39,720
Tanglin,Males,40_to_44,880
Tanglin,Males,45_to_49,1050
Tanglin,Males,5_to_9,730
Tanglin,Males,50_to_54,980
Tanglin,Males,55_to_59,780
Tanglin,Males,60_to_64,600
Tanglin,Males,65_to_69,520
Tanglin,Males,70_to_74,450
Tanglin,Males,75_to_79,290
Tanglin,Males,80_to_84,200
Tanglin,Males,85_to_89,90
Tanglin,Males,90_and_over,50
Tengah,Females,0_to_4,0
Tengah,Females,10_to_14,0
Tengah,Females,15_to_19,0
Tengah,Females,20_to_24,0
Tengah,Females,25_to_29,0
Tengah,Females,30_to_34,0
Tengah,Females,35_to_39,0
Tengah,Females,40_to_44,0
Tengah,Females,45_to_49,0
Tengah,Females,5_to_9,0
Tengah,Females,50_to_54,0
Tengah,Females,55_to_59,0
Tengah,Females,60_to_64,0
Tengah,Females,65_to_69,0
Tengah,Females,70_to_74,0
Tengah,Females,75_to_79,0
Tengah,Females,80_to_84,0
Tengah,Females,85_to_89,0
Tengah,Females,90_and_over,0
Tengah,Males,0_to_4,0
Tengah,Males,10_to_14,0
Tengah,Males,15_to_19,0
Tengah,Males,20_to_24,0
Tengah,Males,25_to_29,0
Tengah,Males,30_to_34,0
Tengah,Males,35_to_39,0
Tengah,Males,40_to_44,0
Tengah,Males,45_to_49,0
Tengah,Males,5_to_9,0
Tengah,Males,50_to_54,0
Tengah,Males,55_to_59,0
Tengah,Males,60_to_64,0
Tengah,Males,65_to_69,0
Tengah,Males,70_to_74,0
Tengah,Males,75_to_79,0
Tengah,Males,80_to_84,0
Tengah,Males,85_to_89,0
Tengah,Males,90_and_over,0
Toa Payoh,Females,0_to_4,2550
Toa Payoh,Females,10_to_14,2700
Toa Payoh,Females,15_to_19,2660
Toa Payoh,Females,20_to_24,2920
Toa Payoh,Females,25_to_29,4230
Toa Payoh,Females,30_to_34,5770
Toa Payoh,Females,35_to_39,4490
Toa Payoh,Females,40_to_44,4740
Toa Payoh,Females,45_to_49,5000
Toa Payoh,Females,5_to_9,2560
Toa Payoh,Females,50_to_54,4670
Toa Payoh,Females,55_to_59,4560
Toa Payoh,Females,60_to_64,4810
Toa Payoh,Females,65_to_69,4500
Toa Payoh,Females,70_to_74,3930
Toa Payoh,Females,75_to_79,2740
Toa Payoh,Females,80_to_84,2490
Toa Payoh,Females,85_to_89,1300
Toa Payoh,Females,90_and_over,850
Toa Payoh,Males,0_to_4,2740
Toa Payoh,Males,10_to_14,2790
Toa Payoh,Males,15_to_19,2840
Toa Payoh,Males,20_to_24,3050
Toa Payoh,Males,25_to_29,3960
Toa Payoh,Males,30_to_34,5190
Toa Payoh,Males,35_to_39,4120
Toa Payoh,Males,40_to_44,4060
Toa Payoh,Males,45_to_49,4520
Toa Payoh,Males,5_to_9,2920
Toa Payoh,Males,50_to_54,4340
Toa Payoh,Males,55_to_59,4380
Toa Payoh,Males,60_to_64,4490
Toa Payoh,Males,65_to_69,4060
Toa Payoh,Males,70_to_74,3220
Toa Payoh,Males,75_to_79,2040
Toa Payoh,Males,80_to_84,1580
Toa Payoh,Males,85_to_89,740
Toa Payoh,Males,90_and_over,370
Tuas,Females,0_to_4,0
Tuas,Females,10_to_14,0
Tuas,Females,15_to_19,0
Tuas,Females,20_to_24,0
Tuas,Females,25_to_29,0
Tuas,Females,30_to_34,0
Tuas,Females,35_to_39,0
Tuas,Females,40_to_44,0
Tuas,Females,45_to_49,0
Tuas,Females,5_to_9,0
Tuas,Females,50_to_54,0
Tuas,Females,55_to_59,0
Tuas,Females,60_to_64,0
Tuas,Females,65_to_69,0
Tuas,Females,70_to_74,0
Tuas,Females,75_to_79,0
Tuas,Females,80_to_84,0
Tuas,Females,85_to_89,0
Tuas,Females,90_and_over,0
Tuas,Males,0_to_4,0
Tuas,Males,10_to_14,0
Tuas,Males,15_to_19,0
Tuas,Males,20_to_24,0
Tuas,Males,25_to_29,0
Tuas,Males,30_to_34,0
Tuas,Males,35_to_39,0
Tuas,Males,40_to_44,0
Tuas,Males,45_to_49,0
Tuas,Males,5_to_9,0
Tuas,Males,50_to_54,0
Tuas,Males,55_to_59,0
Tuas,Males,60_to_64,0
Tuas,Males,65_to_69,0
Tuas,Males,70_to_74,0
Tuas,Males,75_to_79,0
Tuas,Males,80_to_84,0
Tuas,Males,85_to_89,0
Tuas,Males,90_and_over,0
Western Islands,Females,0_to_4,0
Western Islands,Females,10_to_14,0
Western Islands,Females,15_to_19,0
Western Islands,Females,20_to_24,0
Western Islands,Females,25_to_29,0
Western Islands,Females,30_to_34,0
Western Islands,Females,35_to_39,0
Western Islands,Females,40_to_44,0
Western Islands,Females,45_to_49,0
Western Islands,Females,5_to_9,0
Western Islands,Females,50_to_54,0
Western Islands,Females,55_to_59,0
Western Islands,Females,60_to_64,0
Western Islands,Females,65_to_69,0
Western Islands,Females,70_to_74,0
Western Islands,Females,75_to_79,0
Western Islands,Females,80_to_84,0
Western Islands,Females,85_to_89,0
Western Islands,Females,90_and_over,0
Western Islands,Males,0_to_4,0
Western Islands,Males,10_to_14,0
Western Islands,Males,15_to_19,0
Western Islands,Males,20_to_24,0
Western Islands,Males,25_to_29,0
Western Islands,Males,30_to_34,0
Western Islands,Males,35_to_39,0
Western Islands,Males,40_to_44,0
Western Islands,Males,45_to_49,0
Western Islands,Males,5_to_9,0
Western Islands,Males,50_to_54,0
Western Islands,Males,55_to_59,0
Western Islands,Males,60_to_64,0
Western Islands,Males,65_to_69,0
Western Islands,Males,70_to_74,0
Western Islands,Males,75_to_79,0
Western Islands,Males,80_to_84,0
Western Islands,Males,85_to_89,0
Western Islands,Males,90_and_over,0
Western Water Catchment,Females,0_to_4,20
Western Water Catchment,Females,10_to_14,20
Western Water Catchment,Females,15_to_19,10
Western Water Catchment,Females,20_to_24,70
Western Water Catchment,Females,25_to_29,20
Western Water Catchment,Females,30_to_34,20
Western Water Catchment,Females,35_to_39,30
Western Water Catchment,Females,40_to_44,30
Western Water Catchment,Females,45_to_49,30
Western Water Catchment,Females,5_to_9,20
Western Water Catchment,Females,50_to_54,20
Western Water Catchment,Females,55_to_59,20
Western Water Catchment,Females,60_to_64,20
Western Water Catchment,Females,65_to_69,10
Western Water Catchment,Females,70_to_74,0
Western Water Catchment,Females,75_to_79,0
Western Water Catchment,Females,80_to_84,0
Western Water Catchment,Females,85_to_89,0
Western Water Catchment,Females,90_and_over,0
Western Water Catchment,Males,0_to_4,10
Western Water Catchment,Males,10_to_14,10
Western Water Catchment,Males,15_to_19,10
Western Water Catchment,Males,20_to_24,20
Western Water Catchment,Males,25_to_29,20
Western Water Catchment,Males,30_to_34,20
Western Water Catchment,Males,35_to_39,30
Western Water Catchment,Males,40_to_44,20
Western Water Catchment,Males,45_to_49,30
Western Water Catchment,Males,5_to_9,30
Western Water Catchment,Males,50_to_54,20
Western Water Catchment,Males,55_to_59,20
Western Water Catchment,Males,60_to_64,20
Western Water Catchment,Males,65_to_69,10
Western Water Catchment,Males,70_to_74,0
Western Water Catchment,Males,75_to_79,0
Western Water Catchment,Males,80_to_84,0
Western Water Catchment,Males,85_to_89,0
Western Water Catchment,Males,90_and_over,0
Woodlands,Females,0_to_4,5430
Woodlands,Females,10_to_14,6530
Woodlands,Females,15_to_19,7360
Woodlands,Females,20_to_24,9620
Woodlands,Females,25_to_29,10340
Woodlands,Females,30_to_34,9410
Woodlands,Females,35_to_39,8600
Woodlands,Females,40_to_44,8940
Woodlands,Females,45_to_49,9560
Woodlands,Females,5_to_9,5950
Woodlands,Females,50_to_54,10790
Woodlands,Females,55_to_59,10030
Woodlands,Females,60_to_64,8240
Woodlands,Females,65_to_69,5910
Woodlands,Females,70_to_74,4010
Woodlands,Females,75_to_79,2210
Woodlands,Females,80_to_84,1630
Woodlands,Females,85_to_89,800
Woodlands,Females,90_and_over,440
Woodlands,Males,0_to_4,5670
Woodlands,Males,10_to_14,6860
Woodlands,Males,15_to_19,8050
Woodlands,Males,20_to_24,10390
Woodlands,Males,25_to_29,11100
Woodlands,Males,30_to_34,9450
Woodlands,Males,35_to_39,8020
Woodlands,Males,40_to_44,8310
Woodlands,Males,45_to_49,8920
Woodlands,Males,5_to_9,6320
Woodlands,Males,50_to_54,9790
Woodlands,Males,55_to_59,10800
Woodlands,Males,60_to_64,8880
Woodlands,Males,65_to_69,6450
Woodlands,Males,70_to_74,3940
Woodlands,Males,75_to_79,1850
Woodlands,Males,80_to_84,1200
Woodlands,Males,85_to_89,500
Woodlands,Males,90_and_over,210
Yishun,Females,0_to_4,5240
Yishun,Females,10_to_14,5320
Yishun,Females,15_to_19,5260
Yishun,Females,20_to_24,6010
Yishun,Females,25_to_29,7730
Yishun,Females,30_to_34,9770
Yishun,Females,35_to_39,9390
Yishun,Females,40_to_44,8480
Yishun,Females,45_to_49,8010
Yishun,Females,5_to_9,5820
Yishun,Females,50_to_54,7560
Yishun,Females,55_to_59,8680
Yishun,Females,60_to_64,8430
Yishun,Females,65_to_69,6790
Yishun,Females,70_to_74,4790
Yishun,Females,75_to_79,2610
Yishun,Females,80_to_84,1850
Yishun,Females,85_to_89,920
Yishun,Females,90_and_over,550
Yishun,Males,0_to_4,5570
Yishun,Males,10_to_14,5680
Yishun,Males,15_to_19,5570
Yishun,Males,20_to_24,6470
Yishun,Males,25_to_29,7760
Yishun,Males,30_to_34,9220
Yishun,Males,35_to_39,8440
Yishun,Males,40_to_44,8190
Yishun,Males,45_to_49,7720
Yishun,Males,5_to_9,6100
Yishun,Males,50_to_54,7330
Yishun,Males,55_to_59,8180
Yishun,Males,60_to_64,8200
Yishun,Males,65_to_69,6670
Yishun,Males,70_to_74,4550
Yishun,Males,75_to_79,2140
Yishun,Males,80_to_84,1240
Yishun,Males,85_to_89,530
Yishun,Males,90_and_over,190
